County,Median_Income,Age-Adjusted Death Rate,Average Deaths per Year
"Jackson County, Wisconsin",50237.0,50.7,14
"Jasper County, Iowa",49305.75,53.8,27
"Jasper County, Missouri",41970.5,60.7,78
"Jay County, Indiana",35704.0,57.7,15
"Jefferson County, Alabama",34483.5,51.5,381
"Jefferson County, Colorado",72051.0,30.5,179
"Jefferson County, Iowa",51050.0,34.6,7
"Jefferson County, Kansas",44780.5,47.7,12
"Jefferson County, Kentucky",87293.45454545454,60.5,512
"Jefferson County, New York",51927.0,50.4,56
"Jefferson County, Ohio",52296.0,58.7,59
"Jefferson County, Tennessee",47912.0,51.1,36
"Jefferson County, Texas",32888.0,49.8,134
"Jefferson County, Washington",41472.0,43.5,27
"Jefferson County, West Virginia",43909.0,51.6,30
"Jefferson County, Wisconsin",52649.0,38.7,36
"Jefferson Parish, Louisiana",30489.0,52.3,262
"Jenkins County, Georgia",23861.0,60,6
"Jessamine County, Kentucky",38089.0,59.7,29
"Jewell County, Kansas",35145.0,55.2,3
"Johnson County, Illinois",29082.0,60.5,10
"Johnson County, Indiana",55631.0,50.1,73
"Johnson County, Iowa",74285.33333333333,36.7,37
"Johnson County, Kansas",144872.5,39.6,210
"Johnson County, Missouri",40354.0,54.1,26
"Johnson County, Nebraska",19940.0,46.6,3
"Johnson County, Texas",50201.0,56.1,86
"Johnson County, Wyoming",49288.0,29.9,4
"Jones County, Texas",36413.0,48.5,11
"Juneau County, Wisconsin",36088.0,54.7,21
"Kalamazoo County, Michigan",61402.0,47.5,126
"Kalkaska County, Michigan",42197.0,72.7,17
"Kanawha County, West Virginia",40294.71428571428,64.5,170
"Kane County, Illinois",77900.0,43.7,193
"Karnes County, Texas",32735.0,41.1,7
"Kauai County, Hawaii",59351.5,34.6,30
"Kearney County, Nebraska",46366.0,47.6,4
"Kenai Peninsula Borough, Alaska",59124.0,50.1,28
"Kendall County, Illinois",76758.5,39.3,32
"Kendall County, Texas",58288.0,29.5,14
"Kennebec County, Maine",46976.0,57.3,91
"Kenosha County, Wisconsin",59537.0,52.7,87
"Kent County, Delaware",57033.319444444445,57,105
"Kent County, Michigan",47808.333333333336,41.3,247
"Kent County, Rhode Island",56355.77906976744,52.6,116
"Kenton County, Kentucky",44465.0,65,102
"Keokuk County, Iowa",36086.5,55.1,9
"Kern County, California",42290.0,41.4,270
"King County, Washington",81556.2,36.4,681
"Kit Carson County, Colorado",32387.5,36,4
"Kitsap County, Washington",59525.333333333336,43,123
"Kittitas County, Washington",29794.0,44.4,18
"Knott County, Kentucky",21072.0,85.9,17
"Knox County, Illinois",49452.0,52.5,40
"Knox County, Indiana",34671.0,53.6,26
"Knox County, Kentucky",32123.0,85.9,33
"Knox County, Ohio",39035.666666666664,48,35
"Kodiak Island Borough, Alaska",60544.0,76.2,6
"Koochiching County, Minnesota",36652.0,47,10
"Kosciusko County, Indiana",45592.5,54,47
"LaPorte County, Indiana",80397.0,55.9,74
"Lac qui Parle County, Minnesota",44110.0,37.9,5
"Lackawanna County, Pennsylvania",62490.0,47.5,144
"Lafayette County, Missouri",39350.0,50.1,21
"Lafayette County, Wisconsin",38615.0,35.5,8
"Lake County, Florida",35935.0,52.9,279
"Lake County, Illinois",83744.0,40.1,257
"Lake County, Indiana",75237.5,53.8,298
"Lake County, Minnesota",41010.0,43.7,8
"Lake County, Montana",58239.0,37.4,15
"Lake County, Ohio",44379.0,55.4,169
"Lake County, Oregon",35179.0,33.3,4
"Lamar County, Alabama",34725.0,72.2,15
"Lamb County, Texas",38017.0,31.1,5
"Lamoille County, Vermont",35120.0,43.9,13
"Lampasas County, Texas",39685.0,66.5,17
"Lancaster County, Pennsylvania",64448.75,38.5,249
"Lancaster County, South Carolina",30383.0,52.1,51
"Latah County, Idaho",40591.0,37.2,12
"Lauderdale County, Mississippi",69195.0,53,49
"Laurens County, Georgia",31183.0,54.6,32
"Lawrence County, Alabama",28180.0,70,29
"Lawrence County, Illinois",32240.0,66.4,14
"Lawrence County, Mississippi",20679.0,76,12
"Lawrence County, Missouri",26383.5,53.7,27
"Lawrence County, Ohio",39225.5,67.8,53
"Lawrence County, Pennsylvania",43453.0,52.1,71
"Lawrence County, Tennessee",29150.0,68.3,37
"Le Flore County, Oklahoma",26535.0,75.4,47
"Le Sueur County, Minnesota",50419.5,38,13
"Lea County, New Mexico",51067.0,40.8,24
"Lebanon County, Pennsylvania",55061.666666666664,49.8,92
"Lee County, Alabama",50828.5,57.1,66
"Lee County, Arkansas",23139.333333333332,61.9,8
"Lee County, Florida",39805.2,39.9,441
"Lee County, North Carolina",52298.0,54.7,36
"Lee County, Virginia",20464.5,85.9,28
"Lehigh County, Pennsylvania",55782.0,41,178
"Lemhi County, Idaho",24559.0,40.6,6
"Lenoir County, North Carolina",28049.0,53.2,42
"Letcher County, Kentucky",32254.0,96.1,29
"Levy County, Florida",32177.0,77.3,49
"Lewis County, Kentucky",8462.0,84.1,14
"Lewis County, Missouri",46812.0,68.9,9
"Lewis County, New York",30454.0,51.8,18
"Lewis County, Tennessee",35966.0,81.6,13
"Lewis County, Washington",45146.5,52.8,56
"Lewis and Clark County, Montana",51437.0,45.4,34
"Liberty County, Texas",33331.0,69.4,52
"Limestone County, Texas",37876.0,57.9,17
"Lincoln County, Maine",22287.5,43.8,26
"Lincoln County, Minnesota",41268.5,36.2,4
"Lincoln County, Montana",22954.0,56.8,18
"Lincoln County, Oklahoma",38234.333333333336,66.4,29
"Lincoln County, Oregon",35673.0,58.9,47
"Lincoln County, West Virginia",35798.0,77.3,22
"Lincoln County, Wyoming",57848.0,26.8,5
"Lincoln Parish, Louisiana",34648.666666666664,45.9,20
"Linn County, Iowa",81314.5,47.6,110
"Linn County, Kansas",31788.0,65.1,10
"Linn County, Missouri",46365.0,65.6,12
"Linn County, Oregon",46321.5,53.4,79
"Litchfield County, Connecticut",65436.0,38.7,99
"Livingston County, Illinois",50292.0,49.7,25
"Livingston County, Kentucky",60926.0,81.6,12
"Livingston County, Michigan",55301.0,44.2,86
"Livingston County, New York",60330.0,45.8,36
"Livingston Parish, Louisiana",56271.0,66.4,77
"Llano County, Texas",36632.0,42.3,19
"Logan County, Illinois",54340.333333333336,52.9,20
"Logan County, Kentucky",32184.0,77.8,26
"Logan County, Ohio",36302.0,60,34
"Logan County, Oklahoma",59537.0,50.3,24
"Logan County, West Virginia",23474.0,95.1,45
"Long County, Georgia",37868.0,60.6,7
"Lonoke County, Arkansas",39255.0,72.3,49
"Lorain County, Ohio",67416.0,55.1,200
"Los Alamos County, New Mexico",100732.0,15.8,4
"Los Angeles County, California",69254.4375,31.1,2876
"Loudoun County, Virginia",117292.5,34.2,67
"Louisa County, Iowa",47936.0,44.9,6
"Lowndes County, Georgia",31941.0,52.8,49
"Lowndes County, Mississippi",53497.0,56.4,37
"Lubbock County, Texas",41571.0,39.3,102
"Lucas County, Ohio",62541.0,55.4,275
"Luce County, Michigan",32733.0,56.7,6
"Luzerne County, Pennsylvania",49170.88888888889,46.1,210
"Lycoming County, Pennsylvania",42082.0,51,78
"Lynn County, Texas",28387.0,45.7,3
"Lyon County, Iowa",53195.0,24.4,3
"Lyon County, Nevada",67269.0,61.2,41
"Macomb County, Michigan",48015.333333333336,52.2,527
"Macon County, Georgia",14842.0,55.9,9
"Macon County, Illinois",53863.0,62.8,92
"Macon County, North Carolina",43438.5,57.9,35
"Macon County, Tennessee",29340.0,77.5,21
"Macoupin County, Illinois",50128.0,59.9,39
"Madera County, California",36022.5,37,53
"Madison County, Arkansas",33565.0,58.5,12
"Madison County, Illinois",50112.25,58.5,186
"Madison County, Montana",30579.0,31.3,4
"Madison County, Nebraska",55360.5,40.5,17
"Madison County, New York",44733.5,56.2,49
"Madison County, North Carolina",24847.0,47,14
"Madison County, Ohio",73201.0,52.8,25
"Madison County, Texas",53737.0,49.9,8
"Mahaska County, Iowa",50173.0,66.6,19
"Mahnomen County, Minnesota",57133.0,82.7,6
"Major County, Oklahoma",58799.0,42.7,5
"Malheur County, Oregon",38718.0,41.5,15
"Manatee County, Florida",28402.0,41.7,236
"Manitowoc County, Wisconsin",56412.0,38.4,44
"Marathon County, Wisconsin",58024.0,37.7,61
"Maricopa County, Arizona",64314.5,37.2,1463
"Marin County, California",118826.5,29.7,106
"Marinette County, Wisconsin",20895.0,50.2,33
"Marion County, Alabama",32411.5,51.7,23
"Marion County, Arkansas",35834.0,72.5,22
"Marion County, Illinois",38108.0,67.6,36
"Marion County, Indiana",57622.0,64.3,545
"Marion County, Iowa",37296.0,43.6,18
"Marion County, Kansas",35092.0,26.8,5
"Marion County, Kentucky",30864.0,69.1,15
"Marion County, Missouri",30300.0,58.6,22
"Marion County, Ohio",33365.0,62.2,51
"Marion County, Oregon",47273.0,45.9,157
"Marion County, South Carolina",25157.5,62.1,25
"Marion County, Tennessee",53032.0,69.9,27
"Marquette County, Michigan",35122.0,50.5,42
"Marquette County, Wisconsin",38690.5,59.2,15
"Marshall County, Iowa",47999.0,49.3,27
"Marshall County, Kansas",40587.0,37.5,6
"Marshall County, Oklahoma",36452.0,61.9,15
"Mason County, Illinois",51518.0,63.9,14
"Mason County, Michigan",33235.0,56.9,25
"Massac County, Illinois",32224.0,67.9,15
"Matagorda County, Texas",21174.0,48.2,21
"Matanuska-Susitna Borough, Alaska",84804.0,53.9,37
"Mathews County, Virginia",54108.0,47.6,9
"Maui County, Hawaii",63040.0,28.6,51
"Maverick County, Texas",33654.0,23.1,10
"Mayes County, Oklahoma",37838.25,63.9,33
"McClain County, Oklahoma",53546.0,60.1,23
"McCook County, South Dakota",51345.0,57.6,5
"McCurtain County, Oklahoma",26490.0,65.6,27
"McDonald County, Missouri",35626.0,80.6,19
"McDowell County, North Carolina",27898.0,58.1,35
"McDowell County, West Virginia",20245.0,86.6,26
"McHenry County, Illinois",82009.0,51.9,143
"McHenry County, North Dakota",42994.666666666664,41.7,4
"McIntosh County, Oklahoma",21435.0,70.1,24
"McKinley County, New Mexico",46760.0,11.6,7
"McLean County, Illinois",60305.5,44.7,68
"McLeod County, Minnesota",47953.0,40.4,18
"McPherson County, Kansas",39965.0,34.4,15
"Meade County, Kentucky",57160.5,87,24
"Meade County, South Dakota",43773.0,44.9,12
"Meeker County, Minnesota",28423.0,40.7,13
"Meigs County, Ohio",21736.0,51.7,16
"Menard County, Illinois",42906.0,62.1,10
"Mendocino County, California",83217.0,42.1,51
"Menominee County, Michigan",46982.0,49.3,19
"Merced County, California",40832.0,41.1,85
"Mercer County, Illinois",41708.666666666664,48.2,12
"Mercer County, Missouri",33494.0,74.2,4
"Mercer County, North Dakota",57050.0,36.8,4
"Mercer County, Pennsylvania",40092.666666666664,50.6,86
"Mercer County, West Virginia",37552.0,65.2,59
"Merrimack County, New Hampshire",60744.5,46.6,84
"Miami County, Indiana",33239.0,68,29
"Miami County, Ohio",48226.0,54.9,72
"Miami-Dade County, Florida",81822.5,29.9,885
"Middlesex County, Massachusetts",90640.33333333333,42.5,713
"Middlesex County, New Jersey",81616.71428571429,37,319
"Mifflin County, Pennsylvania",37092.333333333336,52,36
"Milam County, Texas",18716.0,47.1,17
"Miller County, Missouri",21539.0,68.4,22
"Milwaukee County, Wisconsin",51433.0,52,484
"Mineral County, Montana",53179.0,56.9,4
"Mineral County, Nevada",47499.0,63.6,5
"Mineral County, West Virginia",19861.0,65.2,26
"Minnehaha County, South Dakota",68030.0,52.1,87
"Mississippi County, Arkansas",37849.333333333336,70.2,34
"Mississippi County, Missouri",31335.0,97.2,17
"Missoula County, Montana",53695.25,42,45
"Mitchell County, Iowa",33246.75,24.8,5
"Mobile County, Alabama",46262.0,63.3,289
"Modoc County, California",21074.5,34.8,5
"Mohave County, Arizona",41769.0,59.1,216
"Moniteau County, Missouri",33684.0,46.6,8
"Monmouth County, New Jersey",79969.66666666667,42.8,317
"Monona County, Iowa",40534.0,46.6,8
"Monroe County, Illinois",52616.0,43.6,17
"Monroe County, Indiana",22414.0,49.7,61
"Monroe County, Michigan",45502.0,57,101
"Monroe County, Mississippi",48360.0,57.1,26
"Monroe County, New York",41490.0,46.4,405
"Monroe County, Ohio",44970.5,54.6,12
"Monroe County, Tennessee",37846.0,73.4,45
"Monterey County, California",59995.0,31.7,121
"Montezuma County, Colorado",34138.0,31,12
"Montgomery County, Arkansas",26738.0,50.4,8
"Montgomery County, Illinois",33175.0,68.5,28
"Montgomery County, Indiana",49894.0,54.5,26
"Montgomery County, Kansas",49228.0,64.4,30
"Montgomery County, Maryland",131121.75,25,263
"Montgomery County, Mississippi",27429.0,57,8
"Montgomery County, New York",42740.0,50.7,34
"Montgomery County, North Carolina",38053.0,49.4,18
"Montgomery County, Ohio",36504.5,56.3,376
"Montgomery County, Pennsylvania",78794.6,40.4,408
"Montgomery County, Texas",90121.0,47,201
"Montmorency County, Michigan",24311.5,56.1,11
"Moore County, Texas",42025.0,46.1,8
"Morgan County, Alabama",39591.0,60.5,88
"Morgan County, Colorado",40100.0,41.2,13
"Morgan County, Georgia",39526.0,49.2,11
"Morgan County, Indiana",47794.0,66.4,52
"Morgan County, Missouri",29816.0,65.6,23
"Morgan County, Tennessee",36881.0,71.7,19
"Morris County, Kansas",52793.0,51.3,5
"Morris County, New Jersey",92516.5,34.8,201
"Morrison County, Minnesota",46930.5,39.6,17
"Morrow County, Oregon",39497.0,53.5,7
"Morton County, North Dakota",55890.0,45.2,16
"Moultrie County, Illinois",44172.0,46.1,9
"Mower County, Minnesota",41589.0,38.5,22
"Muhlenberg County, Kentucky",23266.0,77.3,32
"Multnomah County, Oregon",60392.0,47.5,327
"Murray County, Minnesota",40138.0,33.5,5
"Muscatine County, Iowa",79528.0,48.4,23
"Muskegon County, Michigan",50962.0,58.4,118
"Muskingum County, Ohio",43781.0,69.6,75
"Muskogee County, Oklahoma",36450.5,74,63
"Musselshell County, Montana",18627.0,66.6,5
"Nacogdoches County, Texas",18980.0,59.7,37
"Nantucket County, Massachusetts",82252.0,42.7,5
"Nash County, North Carolina",74344.0,58,68
"Nassau County, Florida",39763.5,57.3,57
"Nassau County, New York",102167.06666666667,34.8,605
"Navajo County, Arizona",27738.666666666668,31,35
"Navarro County, Texas",39223.0,59.9,35
"Nelson County, Kentucky",30268.0,64.2,30
"Nemaha County, Nebraska",38076.666666666664,37.4,4
"New Castle County, Delaware",79592.0,50.3,289
"New Haven County, Connecticut",56900.0,44.9,467
"New London County, Connecticut",77668.5,43.3,142
"New Madrid County, Missouri",30429.25,84.5,21
"Newton County, Arkansas",22379.0,64.9,9
"Newton County, Georgia",33963.0,59.5,51
"Newton County, Missouri",74656.0,55.5,40
"Nez Perce County, Idaho",40102.0,54,30
"Niagara County, New York",56683.0,56.3,159
"Nicholas County, West Virginia",33056.0,66.3,25
"Nicollet County, Minnesota",56392.0,35.5,12
"Noble County, Indiana",38124.0,54.7,28
"Nobles County, Minnesota",47881.0,26.6,8
"Nodaway County, Missouri",34928.0,48.7,12
"Nolan County, Texas",31429.0,58.9,11
"Nome Census Area, Alaska",64415.0,96.1,6
"Norfolk County, Massachusetts",80588.5,42.8,354
"North Slope Borough, Alaska",61967.0,124.9,5
"Northampton County, North Carolina",30846.5,56.8,19
"Northampton County, Pennsylvania",49880.0,45.5,177
"Northampton County, Virginia",24988.0,73.6,15
"Northumberland County, Pennsylvania",37884.0,52.4,73
"Nowata County, Oklahoma",42861.0,54.9,8
"Nueces County, Texas",38931.0,38.1,134
"O'Brien County, Iowa",51434.0,39.3,9
"Oakland County, Michigan",70655.0,41,567
"Obion County, Tennessee",34965.0,71.5,30
"Ocean County, New Jersey",51759.5,47.7,442
"Oconee County, Georgia",72681.0,34.3,11
"Oconto County, Wisconsin",31207.0,47.2,24
"Ogemaw County, Michigan",26565.0,58.9,22
"Ogle County, Illinois",48939.0,45.8,31
"Ohio County, Kentucky",24612.0,94.6,28
"Ohio County, West Virginia",44470.5,52.8,35
"Okaloosa County, Florida",60972.0,57.1,121
"Okanogan County, Washington",25738.333333333332,47.1,26
"Okfuskee County, Oklahoma",20632.0,64.6,10
"Okmulgee County, Oklahoma",32335.5,71.9,36
"Olmsted County, Minnesota",113325.0,32.3,50
"Oneida County, New York",42117.5,53,164
"Onondaga County, New York",51461.0,52.4,289
"Ontonagon County, Michigan",29993.0,55.4,8
"Orange County, California",98459.66666666667,32.6,979
"Orange County, Florida",56122.0,42.1,424
"Orange County, New York",67782.25,46.5,167
"Orangeburg County, South Carolina",26057.5,48,54
"Osage County, Missouri",32435.0,41.5,7
"Osage County, Oklahoma",54211.0,56,36
"Osceola County, Iowa",43383.0,47.2,5
"Osceola County, Michigan",18838.0,64.2,21
"Oswego County, New York",53720.0,65.9,88
"Otero County, New Mexico",45183.0,43.2,33
"Otsego County, Michigan",32194.0,61.2,21
"Otsego County, New York",38784.0,52,43
"Ottawa County, Oklahoma",26730.0,74,32
"Otter Tail County, Minnesota",38880.5,42,39
"Ouachita County, Arkansas",18742.0,55.8,20
"Ouachita Parish, Louisiana",37926.5,62,99
"Outagamie County, Wisconsin",37492.0,39.6,72
"Oxford County, Maine",24729.0,60.9,50
"Ozark County, Missouri",40475.5,61.6,11
"Ozaukee County, Wisconsin",72937.2,32.5,37
"Pacific County, Washington",30912.0,55.9,22
"Page County, Virginia",39016.5,59.8,20
"Palm Beach County, Florida",51355.57142857143,37.3,852
"Park County, Colorado",42948.0,25.5,4
"Park County, Wyoming",48904.0,34.2,14
"Parke County, Indiana",32345.0,64,14
"Parker County, Texas",120366.0,56.9,71
"Pasco County, Florida",38689.71428571428,57.3,422
"Pawnee County, Oklahoma",36531.0,58.3,13
"Pecos County, Texas",62160.0,39.5,6
"Pembina County, North Dakota",47256.0,56.7,7
"Pennington County, Minnesota",47009.0,34,6
"Pennington County, South Dakota",49409.0,46.9,55
"Penobscot County, Maine",43660.5,60.4,116
"Peoria County, Illinois",56848.5,60.1,129
"Pepin County, Wisconsin",46024.0,38.1,4
"Perquimans County, North Carolina",36721.0,48.2,10
"Perry County, Arkansas",38460.0,78.5,11
"Perry County, Illinois",46371.0,52.8,15
"Perry County, Mississippi",28580.0,58.6,8
"Perry County, Ohio",53389.0,63.3,26
"Perry County, Pennsylvania",48189.0,54.1,30
"Phillips County, Arkansas",19647.0,90.8,23
"Phillips County, Kansas",44283.0,56.3,5
"Piatt County, Illinois",55490.0,53.1,12
"Pickaway County, Ohio",50023.5,64.6,41
"Pickens County, Alabama",24159.0,57.5,16
"Pickens County, South Carolina",31770.0,51.5,69
"Pierce County, Georgia",28320.0,70.5,16
"Pierce County, Washington",65475.6,51.6,396
"Pike County, Arkansas",35864.0,63.5,10
"Pike County, Georgia",32388.0,62.9,12
"Pike County, Illinois",29621.0,46,11
"Pike County, Kentucky",32799.666666666664,85.4,67
"Pike County, Missouri",39279.0,57,13
"Pike County, Ohio",23830.0,67.8,24
"Pike County, Pennsylvania",56712.5,41.2,32
"Pima County, Arizona",35989.6,37.3,464
"Pinal County, Arizona",53942.0,33.6,146
"Pine County, Minnesota",39528.5,45.4,18
"Pinellas County, Florida",35321.0,50.6,777
"Pittsburg County, Oklahoma",31334.666666666668,65.9,41
"Placer County, California",54222.333333333336,34.3,154
"Plaquemines Parish, Louisiana",32179.0,51.6,12
"Platte County, Nebraska",49466.333333333336,40.8,16
"Plumas County, California",39832.2,36.5,12
"Plymouth County, Massachusetts",88846.5,49.6,292
"Pocahontas County, Iowa",41489.5,35.5,5
"Pointe Coupee Parish, Louisiana",55130.0,44.1,13
"Polk County, Arkansas",19338.0,57.8,18
"Polk County, Florida",36185.75,50.1,423
"Polk County, Minnesota",40927.5,44.2,18
"Polk County, Missouri",19046.0,54,21
"Polk County, North Carolina",44090.0,40.8,15
"Polk County, Oregon",20406.0,38.3,36
"Polk County, Tennessee",22040.0,103.3,25
"Polk County, Texas",54868.0,73.4,49
"Pope County, Arkansas",32904.0,72.5,49
"Portage County, Wisconsin",71671.0,38.6,30
"Porter County, Indiana",93554.0,52.9,95
"Posey County, Indiana",49349.0,41.3,13
"Pottawatomie County, Kansas",42886.0,39.2,9
"Pottawatomie County, Oklahoma",34669.5,60.9,49
"Pottawattamie County, Iowa",50497.0,61.5,68
"Preble County, Ohio",46331.0,57.7,31
"Presque Isle County, Michigan",39240.0,60.2,16
"Preston County, West Virginia",46843.0,45.8,20
"Prince William County, Virginia",97066.0,40.9,107
"Pueblo County, Colorado",39127.5,36.8,74
"Pulaski County, Arkansas",20505.0,54.7,223
"Pulaski County, Illinois",19422.0,74.3,7
"Pulaski County, Missouri",52421.0,67.9,23
"Pulaski County, Virginia",57424.0,59.1,30
"Pushmataha County, Oklahoma",24399.0,81.6,14
"Putnam County, Indiana",63749.0,76.4,33
"Putnam County, New York",92752.0,45.2,49
"Putnam County, Ohio",41863.0,36.7,15
"Quitman County, Mississippi",22896.0,66.1,6
"Racine County, Wisconsin",60935.0,47.5,104
"Raleigh County, West Virginia",33636.0,59.8,64
"Ralls County, Missouri",49236.0,65.7,9
"Ramsey County, North Dakota",40580.5,53.2,8
"Randolph County, Alabama",33446.0,58.5,18
"Randolph County, Arkansas",22527.0,69.9,18
"Randolph County, West Virginia",33994.0,50.7,20
"Rankin County, Mississippi",36012.0,46.9,67
"Ransom County, North Dakota",52946.0,55.3,5
"Rapides Parish, Louisiana",27941.0,53.7,81
"Ravalli County, Montana",20005.0,33,21
"Ray County, Missouri",39687.75,77.3,22
"Red River County, Texas",23174.0,51.5,11
"Red River Parish, Louisiana",56091.0,39.4,4
"Redwood County, Minnesota",37920.4,43.7,11
"Reeves County, Texas",31920.0,23.6,3
"Refugio County, Texas",34375.0,69.5,8
"Reno County, Kansas",37406.0,51.4,45
"Rensselaer County, New York",64438.0,58.4,109
"Renville County, Minnesota",40438.0,35.4,8
"Republic County, Kansas",27841.0,49,4
"Reynolds County, Missouri",27064.5,59.6,6
"Rhea County, Tennessee",26763.0,77.5,31
"Rice County, Kansas",42455.5,62.7,9
"Richland County, Illinois",37112.0,56.7,13
"Richland County, South Carolina",61071.0,49.3,167
"Richmond County, Georgia",39414.0,56.8,113
"Ringgold County, Iowa",36559.0,41.2,4
"Rio Arriba County, New Mexico",42781.0,30.3,14
"Rio Grande County, Colorado",6808.0,21,3
"Ritchie County, West Virginia",35180.0,81.5,12
"Riverside County, California",59864.5,37.1,808
"Robertson County, Tennessee",49438.0,65.1,45
"Robeson County, North Carolina",25754.5,58.4,79
"Rock County, Wisconsin",50259.0,54.5,101
"Rock Island County, Illinois",54698.5,52.4,101
"Rockcastle County, Kentucky",19731.0,89.2,19
"Rockingham County, North Carolina",45792.0,60.2,75
"Rockland County, New York",70996.4,32.9,116
"Rolette County, North Dakota",37788.0,72.2,9
"Roosevelt County, Montana",36771.0,33.7,3
"Roscommon County, Michigan",35913.0,60.1,30
"Rosebud County, Montana",26793.0,39.5,3
"Ross County, Ohio",45702.0,63.9,58
"Routt County, Colorado",47793.0,24.3,4
"Rowan County, North Carolina",41851.5,58.5,98
"Runnels County, Texas",34635.0,49.8,8
"Rush County, Indiana",46710.5,67.5,15
"Rusk County, Texas",48858.333333333336,51.6,33
"Rutland County, Vermont",45196.0,51.3,44
"Sabine County, Texas",22030.0,51.8,11
"Sacramento County, California",83238.5,42.6,595
"Saginaw County, Michigan",33504.0,50.5,127
"Salem County, New Jersey",57807.0,48.1,41
"Saline County, Arkansas",44049.0,52,69
"Saline County, Kansas",54196.0,51.8,35
"Saline County, Missouri",35639.75,52.1,16
"Saline County, Nebraska",77502.0,49.8,8
"Salt Lake County, Utah",86035.66666666667,22.1,177
"Sampson County, North Carolina",24399.5,60.4,46
"San Augustine County, Texas",28041.0,65.6,10
"San Bernardino County, California",52047.545454545456,39,625
"San Diego County, California",67637.0,36,1097
"San Joaquin County, California",57688.0,44.8,277
"San Juan County, New Mexico",47534.0,30.1,36
"San Luis Obispo County, California",55486.5,34.7,120
"San Mateo County, California",74953.0,30.4,254
"San Miguel County, New Mexico",93362.5,34.4,12
"San Saba County, Texas",29321.0,51.7,5
"Sandusky County, Ohio",47136.0,56.2,43
"Sangamon County, Illinois",91709.0,54.1,126
"Sanpete County, Utah",59348.0,18.8,5
"Santa Barbara County, California",77557.5,29.3,134
"Santa Clara County, California",101262.66666666667,27.6,472
"Santa Cruz County, Arizona",27728.0,23.1,12
"Santa Cruz County, California",67914.33333333333,28.4,74
"Santa Fe County, New Mexico",44890.5,23,42
"Santa Rosa County, Florida",62563.0,61.6,104
"Sarasota County, Florida",50525.5,41.9,366
"Sarpy County, Nebraska",58495.0,49.9,62
"Sauk County, Wisconsin",48030.0,50,39
"Sawyer County, Wisconsin",33045.0,54.9,15
"Schoharie County, New York",36775.0,44.4,20
"Schuyler County, Missouri",29751.5,70,4
"Schuylkill County, Pennsylvania",48903.0,52.8,114
"Scioto County, Ohio",40705.333333333336,73.2,71
"Scott County, Illinois",41167.0,52.1,4
"Scott County, Iowa",51689.666666666664,53.2,99
"Scott County, Kentucky",31180.0,59.5,24
"Scott County, Missouri",41013.0,73.8,36
"Scott County, Tennessee",28211.666666666668,94.9,24
"Scott County, Virginia",46659.0,67.2,24
"Screven County, Georgia",23022.5,57,10
"Sebastian County, Arkansas",35698.0,62.1,85
"Sedgwick County, Kansas",64849.0,50.3,251
"Seminole County, Oklahoma",32259.0,72.4,24
"Seneca County, New York",46673.0,46.6,21
"Seneca County, Ohio",37530.0,54,38
"Sequoyah County, Oklahoma",38033.0,70.4,37
"Sevier County, Tennessee",49660.0,61.8,72
"Sevier County, Utah",48295.0,21.3,5
"Seward County, Nebraska",57506.5,32.2,7
"Shannon County, Missouri",19914.0,57.8,7
"Shasta County, California",39060.4,48.6,119
"Shawnee County, Kansas",44392.0,49.9,109
"Sheboygan County, Wisconsin",70649.0,45.2,63
"Shelby County, Alabama",47489.666666666664,47.3,88
"Shelby County, Illinois",49003.333333333336,46.9,16
"Shelby County, Indiana",61406.0,56.2,30
"Shelby County, Iowa",43722.0,37,7
"Shelby County, Missouri",31216.5,39.6,3
"Shelby County, Tennessee",108961.0,53.2,457
"Shenandoah County, Virginia",46834.0,54.3,33
"Sherburne County, Minnesota",65079.0,43.2,30
"Sheridan County, Wyoming",64759.0,42,15
"Sherman County, Kansas",38362.0,51.6,5
"Sherman County, Nebraska",38225.0,66.1,3
"Sibley County, Minnesota",49215.0,45.6,9
"Sierra County, New Mexico",22991.0,49,14
"Simpson County, Mississippi",41031.0,60.5,20
"Sioux County, Iowa",61005.0,33.9,13
"Skagit County, Washington",39390.0,47.1,74
"Smith County, Mississippi",33298.5,65.8,14
"Smith County, Texas",68877.0,47.8,118
"Smyth County, Virginia",27493.0,79.5,36
"Snohomish County, Washington",72509.0,45,300
"Snyder County, Pennsylvania",44520.0,38.2,19
"Socorro County, New Mexico",11572.0,35.9,7
"Solano County, California",88891.0,44.3,186
"Somerset County, New Jersey",94290.5,35.3,122
"Somerset County, Pennsylvania",57841.0,37.1,43
"Sonoma County, California",56403.75,38.4,223
"Spencer County, Indiana",45483.0,51.3,14
"Spink County, South Dakota",49028.0,46.2,5
"Spokane County, Washington",54392.333333333336,47.2,245
"St. Charles Parish, Louisiana",53592.666666666664,58.8,29
"St. Clair County, Michigan",58081.5,59.5,122
"St. Francis County, Arkansas",38922.0,54.4,16
"St. Francois County, Missouri",34181.0,76.7,59
"St. James Parish, Louisiana",57624.5,53.3,13
"St. Johns County, Florida",71746.0,42.3,107
"St. Joseph County, Indiana",60289.0,52.2,157
"St. Joseph County, Michigan",48427.5,53,40
"St. Lawrence County, New York",54225.5,60.3,78
"St. Louis County, Minnesota",33370.25,47,126
"St. Louis County, Missouri",57197.42857142857,45.9,574
"St. Lucie County, Florida",25160.0,48.9,213
"St. Martin Parish, Louisiana",36611.0,61.5,34
"St. Mary Parish, Louisiana",40407.0,53.4,33
